sentence	paraphrase	reference
Of course, later I bought them.	Of course, later they were bought by me.	Später habe ich die dann aber natürlich gekauft.
A few years ago textile designer Kati Reuter revitalised the historic snowball lace.	A few years ago the historic snowball lace was revitalised by textile designer Kati Reuter.	Vor einigen Jahren belebte Textildesignerin Kati Reuter die historische Schneeballspitze neu.
The machines embroider small beads in selected places.	Small beads are embroidered by the machines in selected places.	Dabei stickt die Maschine an einigen Stellen kleine Kügelchen.
Using an elaborate process she embosses the pattern in silver.	Using an elaborate process the pattern is embossed by her in silver.	In einem aufwendigen Verfahren prägt sie das Muster in Silber.
28-Year-Old Chef Found Dead at San Francisco Mall	Dead were Found by 28-year - Old Chef at San Francisco Mall	28-jähriger Koch in San Francisco Mall tot aufgefunden
"""He found an apartment, he was dating a girl,"" Louis Galicia told KGO."	"""He found an apartment, he was dating a girl,"" KGO was told by Louis Galicia."	"""Er fand eine Wohnung, er hatte eine Freundin,"" teilte Louis Garcia KGO mit."
One house offers refuge.	Refuge is offered by one house.	Ein Haus bietet Zuflucht.
It recently had its official opening.	Its official opening was recently had by it.	Unlängst wurde sie offiziell eröffnet.
The next day one newspaper here described Mr Erdogan as acting as if nothing bad had ever happened.	The next day Mr Erdogan was described by one newspaper here as acting as if nothing bad had ever happened.	Am nächsten Tag beschrieb eine Zeitung, dass sich Erdogan so benommen hätte, als wäre nie etwas Schlimmes geschehen.
To me, his enthusiasm implied the opposite.	To me, the opposite was implied by his enthusiasm.	Mir schien sein Enthusiasmus eher das Gegenteil anzudeuten.
For months, state-controlled media conducted a staggering, all-out offensive against Ankara.	For months, a staggering , all - out offensive against Ankara was conducted by state - controlled media.	Monate lang führten die staatlich kontrollierten Medien einen heftigen, uneingeschränkten Angriff auf Ankara aus.
"""Tourists that way, tomatoes back here,"" as a report in Vedemosti newspaper phrased it."	"""It was phrased by tourists that way , tomatoes back here , "" as a report in Vedemosti newspaper."	"Ein Bericht in Vedemosti formulierte es folgendermaßen: ""Touristen dort lang, Tomaten hier lang."""
The Russian leader certainly won bonus points with Ankara for calling in support of the elected authorities after the attempted coup.	Bonus points were certainly won by the Russian leader with Ankara for calling in support of the elected authorities after the attempted coup.	Der russische Staatschef gewann in Ankara mit Sicherheit einen Bonus dafür, dass er nach dem versuchten Staatsstreich Unterstützung für die gewählten Staatsorgane forderte.
Russia's Putin sacks chief of staff Sergei Ivanov	Chief of staff Sergei Ivanov is sacked by russia 's Putin	Russlands Putin feuert Stabschef Sergei Ivanov
"On being appointed, he told Mr Putin: ""Thank you for your trust."""	"On being appointed, Mr Putin was told by him: ""Thank you for your trust."""	"Über seine Ernennung sagte er zu Putin:""Danke für Ihr Vertrauen."""
Moelfre RNLI lifeboat station raised the alarm at 13:20 BST on Friday after a crew saw the incident unfold in Moelfre Bay.	The alarm was raised by moelfre RNLI lifeboat station at 13:20 BST on Friday after a crew saw the incident unfold in Moelfre Bay.	Die Moelfre RNLI Rettungsstation schlug am Freitag um 13:20 BST Alarm, nachdem eine Crew das Ereignis in Moelfre Bay beobachtete.
Instead, the drunk attacker sliced up his ex-girlfriend's clothes.	Instead, his ex - girlfriend 's clothes were sliced up by the drunk attacker.	Stattdessen zerschnitt der alkoholisierte Täter die Kleidung seiner Ex-Freundin.
She then called his sister.	His sister was then called by her.	Diese alarmierte daraufhin dessen Schwester.
"This would dramatically increase the amount of affordable housing in the west of the city, taking a step back from the target of ""blending""."	"The amount of affordable housing in the west of the city is dramatically increased by this, taking a step back from the target of ""blending""."	Denn wird die Zahl der Sozialwohnungen in der Weststadt wieder drastisch erhöht, entfernt man sich vom Ziel der sogenannten Durchmischung.
A witness told police that it wasn't unusual for them to sit in a parked car listening to music.	Police were told by a witness that it wasn't unusual for them to sit in a parked car listening to music.	Ein Zeuge teilte der Polizei mit, dass es für sie nicht ungewöhnlich war, in einem geparkten Auto zu sitzen und Musik zu hören.
I can't do this.	This could not be done by me.	Ich schaffe das nicht.
"""We're teaching him sign language,"" Picciuto told CBS News."	"""We're teaching him sign language,"" CBS News was told by Picciuto."	"""Wir bringen ihm Zeichensprache bei,"" erzählte Picciuto CBS News."
His wife told Hansford that it's the highest she's seen the creek in the 48 years she's lived there.	Hansford was told by his wife that it's the highest she's seen the creek in the 48 years she's lived there.	Seine Frau sagte Hansford, dass sie in den 48 Jahren, in denen sie dort lebte, noch nie einen solchen Hochstand des Flusses gesehen hätte.
The child's grandparents identified him to CBS Philadelphia as Mahaj Brown.	He was identified by the child 's grandparents to CBS Philadelphia as Mahaj Brown.	Die Großeltern des Jungen identifizierten ihn für CBS Philadelphia als Mahaj Brown.
"""He just took a lot, his little body was riddled with bullets,"" his grandmother Delores Melendez tells the station."	"""He just took a lot, his little body was riddled with bullets,"" the station is told by his grandmother Delores Melendez."	"""Er hat viel durchgemacht, sein kleiner Körper war von Kugeln durchlöchert,"" teilte seine Großmutter Delores Melendez dem Sender mit."
I just can't believe it.	It just could not be believed by me.	Ich kann das einfach nicht glauben.
I founded my gymnastics foundation 20 years ago.	My gymnastics foundation was founded by me 20 years ago.	Ich habe meine Turnstiftung von 20 Jahren gegründet.
Anti-clotting drug ticagrelor slashes the risk of repeat attacks for people with heart disease.	The risk of repeat attacks for people with heart disease is slashed by anti - clotting drug ticagrelor.	Das gerinnungshemmende Medikament Ticagrelor reduziert das Risiko wiederholter Herzinfarkte für Personen mit einer Herzerkrankung.
Fear of a recurrence can have a significant negative impact on a person's quality of life.	A significant negative impact on a person 's quality of life could be had by fear of a recurrence.	Die Angst vor einem erneuten Herzinfarkt kann erhebliche negative Auswirkungen auf die Lebensqualität einer Person haben.
"He also criticises the ineffectual ""tick-box inspections"" of town hall electoral registration departments."	"The ineffectual "" tick - box inspections "" of town hall electoral registration departments are also criticised by him."	"Er kritisiert auch die wirkungslosen ""Abhakkontrollen"" der Wahlregistrierungsabteilungen der Rathäuser."
Traveller Ian Wright scrapes his tongue along Europe's dirtiest places for travel guide	His tongue is scraped by traveller Ian Wright along Europe's dirtiest places for travel guide	Reisender Ian Wright schabt für einen Reiseführer seine Zunge an den schmutzigsten Orten Europas
From public handrails in train stations to a toilet flush button the task definitely tested his immune system	From public handrails in train stations to a toilet flush button his immune system was definitely tested by the task	Von öffentlichen Geländern an Bahnhöfen bis hin zu Spülknöpfen von Toiletten, die Aufgabe stellte sein Immunsystem definitiv unter eine Probe
He certainly proved his reputation during the film.	His reputation was certainly proven by him during the film.	Im Film wurde er seinem Ruf auf jeden Fall gerecht.
His sample swab showed a luminometer count of over 4000 units.	A luminometer count of over 4000 units was shown by his sample swab.	Sein Probeabstrich zeigte eine Luminometerzahl von über 4000 Einheiten.
Ahead of the first compulsory game of the new season there were doubts as to the Spanish champions' fitness: they lost 0-4 to Liverpool in a friendly game on Saturday.	Ahead of the first compulsory game of the new season there were doubts as to the Spanish champions' fitness: 0 - 4 were lost by them to Liverpool in a friendly game on Saturday.	Vor dem ersten Pflichtspiel der neuen Spielzeit gibt es beim spanischen Meister Zweifel über den Fitnesszustand der Mannschaft, die am Samstag in einem Testspiel von Liverpool mit 0:4 gedemütigt wurde.
He blamed false reports on his candidacy, once again giving the media a dressing-down, as he is known to do.	False reports were blamed by him on his candidacy, once again giving the media a dressing-down, as he is known to do.	Schuld seien falsche Berichte über seine Kandidatur, nahm er wieder seine bekannte Medienschelte auf.
Following this, WADA removed Kenya from the list of countries whose anti-doping measures comply with WADA rules.	Following this, Kenya was removed by WADA from the list of countries whose anti-doping measures comply with WADA rules.	In der Folge nahm die WADA Kenia von der Liste der Ländern, deren Doping-Bekämpfung konform mit den Regeln der WADA sind.
In this production, Bartoli plays an older Maria.	In this production, an older Maria is played by Bartoli.	In dieser Inszenierung spielt Bartoli eine älter gewordene Maria.
"Treats president Steve Shaw told us earlier this year that his nude-heavy magazine differs from old-school Playboys because ""Playboy is for men."""	"We were told by treats president Steve Shaw earlier this year that his nude-heavy magazine differs from old-school Playboys because ""Playboy is for men."""	"Der Chefredakteur von Treats Steve Shaw erzählte uns Anfang diesen Jahres, dass sich sein Nacktmagazin von Oldschool-Playboys unterscheide, da ""Playboy für Männer sei""."
Turkey: Kurdish community faces mass exodus	Turkey: mass exodus is faced by Kurdish community	Türkei: Kurdische Gemeinde rechnet mit Massenflucht
In the 2011 elections, the SPD had a clear victory over the CDU (35.6 percent versus 22 percent).	In the 2011 elections, a clear victory over the CDU ( 35.6 percent versus 22 percent ) was had by the SPD.	Bei der Wahl 2011 hatte die SPD noch klar mit 35,6 Prozent vor der CDU (22) gewonnen.
The Greens, a small party with seven percent in the polls, should make the leap into the regional parliament.	The leap should be made by the Greens , a small party with seven percent in the polls , into the regional parliament.	Die Grünen, Kleinpartei mit sieben Prozent in den Umfragen, dürften den Sprung in den Landtag schaffen.
De Maizière also presented a few new ideas.	A few new ideas were also presented by de Maizière.	Ein paar neue Ideen präsentiert de Maizière auch.
Globally, the VW brand sold 449,100 cars in July - 1.8 percent fewer vehicles than in the same month in the previous year.	Globally, 449,100 cars were sold by the VW brand in July - 1.8 percent fewer vehicles than in the same month in the previous year.	Weltweit verkaufte die Marke VW im Juli mit 449100 Autos 1,8 Prozent weniger Fahrzeuge als im Vorjahresmonat.
That may explain a boom in vinyl revivalists of a certain age.	A boom in vinyl revivalists of a certain age might be explained by that.	Das würde den Boom an Anhängern des Plattenrevivals eines bestimmten Alters erklären.
Games giant Activision Blizzard is launching a new HD video service for the booming world of e-sports.	A new HD video service for the booming world of e - sports is being launched by games giant Activision Blizzard.	Der Spieleriese Activision Blizzard startet einen neuen HD-Videodienst für die boomende Welt des E-Sports.
Foreign authorities are also using the new technology for speed cameras: recently France ordered 100 of them, after ordering 150 the year before.	Foreign authorities are also using the new technology for speed cameras: recently 100 of them were ordered by France, after ordering 150 the year before.	Auch ausländische Behörden blitzen mit der neuen Technik: Jüngst hat Frankreich 100 Stück nachgeordert, nach einer Bestellung von 150 Stück im vergangenen Jahr.
It alters your outlook a bit.	Your outlook is altered by it a bit.	Es verändert ein wenig den Ausblick.
The pair set a punishing rhythm that their rivals could never match.	A punishing rhythm that their rivals could never match was set by the pair.	Das Paar hatte einen harten Rhythmus, mit denen ihre Gegner nicht mithalten konnten.
A few weeks ago he gave a presentation at the Water Forum for the District of Lower Franconia as a true practitioner of the Veitensteingruppe's successful nitrate reduction concept.	A few weeks ago a presentation was given by him at the Water Forum for the District of Lower Franconia as a true practitioner of the Veitensteingruppe's successful nitrate reduction concept.	Vor wenigen Wochen habe er als echter Praktiker das Erfolgskonzept der Veitensteingruppe zur Nitratsenkung vor dem Wasserforum des Bezirks Unterfranken präsentieren dürfen.
The man now has a bald patch.	A bald patch is now had by the man.	Inzwischen trägt der Mann eine Glatze.
In addition, many towns offer an overview of the choirs in their region.	In addition, an overview of the choirs in their region is offered by many towns.	Viele Städte bieten außerdem Übersichten über die Chöre in der Umgebung.
In the final game against Fenerbahce, he scored the goal that led to a 1-0 victory.	In the final game against Fenerbahce, the goal that led to a 1 - 0 victory was scored by him.	Im Endspiel gegen Fenerbahce erzielte er den 1:0-Siegtreffer.
"After their knockout in the heats for the Champions League, the ""Lions"" also left the Europa League early on."	"After their knockout in the heats for the Champions League, the Europa League was also left by the "" Lions "" early on."	"Nach dem Vorrunden-K.o in der Champions League schieden die ""Löwen"" auch in der Europa League früh aus."
The first nicknames were soon doing the rounds.	The rounds were being soon done by the first nicknames.	Schnell machten die ersten Spitznamen die Runde.
"Some media outlets dubbed him ""Robel the whale""."	"He was dubbed by some media outlets ""Robel the whale""."	"Einige Medien bezeichneten ihn als ""Robel der Wal""."
At the 2000 Olympic Games in Sydney, Eric Moussambani's race also drew media attention.	At the 2000 Olympic Games in Sydney, media attention was also drawn by Eric Moussambani 's race.	Bei den Olympischen Spielen 2000 in Sydney sorgte der Lauf von Eric Moussambani für mediale Aufmerksamkeit.
"Officially, he will take on the role of ""board spokesman"" until Hartmann's successor has been found."	"Officially, the role of "" board spokesman "" will be taken on by him until Hartmann's successor has been found."	"Er soll offiziell die Funktion eines ""Vorstandssprechers"" übernehmen, bis ein Nachfolger für Hartmann gefunden sei."
A company spokesman did not give further details on Friday.	Further details were not given by a company spokesman on Friday.	Details wollte ein Unternehmenssprecher am Freitag nicht nennen.
The fire brigade freed the passengers.	The passengers were freed by the fire brigade.	Die Feuerwehr befreite die Insassen.
The fee increases range from 48 to 67 percent.	Range from 48 to 67 percent is increased by the fee.	Die Gebührenerhöhungen liegen zwischen 48 und 67 Prozent.
Others roundly rejected the anime comparison.	The anime comparison was roundly rejected by others.	Andere lehnten den Anime-Vergleich entschieden ab.
Republicans created the task force after learning that analysts had raised concerns that intelligence about the Islamic State was being manipulated.	The task force was created by republicans after learning that analysts had raised concerns that intelligence about the Islamic State was being manipulated.	Die Republikaner riefen die Task Force ins Leben, nachdem ihnen zugespielt wurde, dass Analysten sich Sorgen hinsichtlich der Manipulation von Berichten zum Islamischen Staat machten.
One day after scoring three goals in a 6-1 victory over Japan, Katie Bam scored the first two goals for the United States women's field hockey team on Thursday as the Americans defeated India, 3-0.	One day after scoring three goals in a 6-1 victory over Japan, the first two goals for the United States women 's field hockey team were scored by Katie Bam on Thursday as the Americans defeated India, 3-0.	Einen Tag, nachdem sie drei Tore während eines 6-1 Siegs über Japan geschossen hatte, machte Katie Bam auch die ersten zwei Tore für das amerikanische Feldhockeyteam der Frauen in einem Match am Donnerstag gegen Indien, dass die Amerikanerinnen mit 3-0 gewannen.
On Thursday night, Bam opened the scoring in the first half with a backhand shot from close in.	On Thursday night, the scoring was opened by Bam in the first half with a backhand shot from close in.	Am Donnerstagabend eröffnete Bam den Torreigen in der ersten Hälfte des Spiels mit einem Rückhandschlag aus dem Nahbereich.
The Olympic flame does not illuminate each event equally.	Each event is not illuminated by the Olympic flame equally.	Die olympische Flamme beleuchtet nicht jedes Ereignis gleich.
In the midst of Olympic mania, they promise a quiet, lovely moment, one likely to be overlooked in the general melee.	In the midst of Olympic mania, a quiet , lovely moment is promised by them, one likely to be overlooked in the general melee.	Inmitten der Olympia-Manie versprechen sie einen ruhigen, netten Moment, einen, der im allgemeinen Tumult wahrscheinlich übersehen wird.
The clarification raised new questions about the Republican presidential nominee's ability to communicate clearly to the American public.	New questions about the Republican presidential nominee 's ability to communicate clearly to the American public were raised by the clarification.	Diese Klarstellung warf neue Fragen zu den Kommunikationsfähigkeiten des Präsidentschaftskandidaten der Republikaner auf, ob er in der Lage sei klar und verständlich mit der amerikanischen Öffentlichkeit zu kommunizieren.
"In late July, after he drew widespread criticism by appearing to suggest that the Russians should hack Mrs. Clinton's emails, he later explained his remarks by saying, ""Of course I'm being sarcastic."""	"In late July, after he drew widespread criticism by appearing to suggest that the Russians should hack Mrs. Clinton's emails, his remarks were later explained by him by saying, ""Of course I'm being sarcastic."""	"Ende Juli zog er starke Kritik auf sich, als er meinte, die Russen sollten Mrs. Clintons Emails hacken, jedoch erklärte er später ""Natürlich meinte ich das sarkastisch""."
Locals bemoaned it as the latest loss in a gentrifying city.	It was bemoaned by locals as the latest loss in a gentrifying city.	Einheimische betrauerten es als letzten Verlust in einer sich gentrifizierenden Stadt.
He introduced new ingredients.	New ingredients were introduced by him.	Er führte neue Zutaten ein.
Even after she moved to Greenpoint, she would still make the trek.	Even after she moved to Greenpoint, the trek is still made by her.	Selbst nachdem sie nach Greenpoint gezogen war, würde sie den Weg auf sich nehmen.
In researching the book, which includes recipes, Ms. Ziegelman prepared a period dish of baked onion stuffed with peanut butter.	In researching the book, which includes recipes, a period dish of baked onion stuffed with peanut butter was prepared by Ms. Ziegelman.	Während ihrer Recherche für das Buch, das auch Rezepte umfasst, bereitete Ziegelman ein Gericht aus dieser Epoche, gebackene Zwiebeln mit Erdnussbutter, zu.
"Sounding like a can-do budgeter, he told his wife, ""Some chopped walnuts would help."""	"Sounding like a can-do budgeter, his wife was told by him, ""Some chopped walnuts would help."""	"Wie ein Can-Do-Budgetierer sagte er zu seiner Frau, ""Ein paar gehackte Walnüsse würden helfen."""
He risked everything to save other people's lives.	Everything to save other people 's lives was risked by him.	Er riskierte alles, um Anderen das Leben zu retten.
They were simply lacking the proof.	The proof was being simply lacked by them.	Nur fehlten die Beweise.
By contrast, a very large animal can invest its resources in having a longer life.	By contrast, its resources could be invested by a very large animal in having a longer life.	Ein sehr großes Tier sollte dagegen seine Ressourcen eher in ein langes Leben investieren.
While Luxembourg is home to a large funds industry, like Dublin, its infrastructure lets it down.	While Luxembourg is home to a large funds industry, like Dublin, it is let down by its infrastructure.	Luxemburg beheimate zwar eine große Fondsbranche, schneide aber ebenso wie Dublin bei der Infrastruktur schlechter ab.
They paid a federal effective tax rate of 20.3 percent in 2015.	A federal effective tax rate of 20.3 percent was paid by them in 2015.	Sie zahlten einen effektiven Bundessteuersatz von 20,3% im Jahr 2015.
On Thursday, she raised the issue during an economic speech in Michigan.	On Thursday, the issue was raised by her during an economic speech in Michigan.	Am Donnerstag sprach sie das Thema auch während einer Rede zur Wirtschaft in Michigan an.
President Barack Obama also backs the proposal.	The proposal is also backed by president Barack Obama.	Präsident Obama unterstützt den Vorschlag ebenfalls.
Conservationists in Tanzania are using an unorthodox way of keeping elephants from wandering into human settlements - by throwing condoms filled with chilli powder at them.	An unorthodox way of keeping elephants from wandering into human settlements is being used by conservationists in Tanzania - by throwing condoms filled with chilli powder at them.	Naturschützer in Tansania verwenden eine unorthodoxe Art, um Elefanten davon abzuhalten, in von Menschen bewohnte Siedlungen zu gehen - sie werfen Kondome auf sie, die mit Chilipuder gefüllt sind.
Previously many used spears to defend themselves.	Previously spears were used by many to defend themselves.	Zuvor haben viele Speere verwendet, um sich zu verteidigen.
Seeking explanation, the filmmaker addressed the issue at the hotel's reception.	Seeking explanation, the issue was addressed by the filmmaker at the hotel's reception.	Nach einer Erklärung suchend wandte sich der Regisseur an die Hotelrezeption.
The reason behind the move triggered even more outrage by the filmmaker.	Even more outrage was triggered by the reason behind the move by the filmmaker.	Der Grund, der dahinter stand, löste im Regisseur noch mehr Wut aus.
That needs no explanation.	No explanation is needed by that.	Das bedarf keiner Erklärung.
The incident triggered quite a response online, with people calling it a scandal.	Quite a response was triggered by the incident online, with people calling it a scandal.	Der Vorfall löste eine ziemlich große Resonanz im Internet aus, bei dem die Leute das Ganze einen Skandal nannten.
At the same time, relatively few Russians are visiting Iran, something the ambassador hopes will change.	At the same time, Iran is being visited by relatively few Russians, something the ambassador hopes will change.	Gleichzeitig besuchen nur relativ wenige Russen den Iran, etwas, von dem der Botschafter hofft, dass es sich ändern wird.
They covered four stages together.	Four stages were covered by them together.	Gemeinsam wurden vier Etappen bewältigt.
They earned the reward of barbecueing together by the swimming pond.	The reward of barbecueing together by the swimming pond was earned by them.	Die verdiente Belohnung war abends ein gemeinsames Grillen am Badweiher.
The move follows the decision of the Victoria government earlier this year to not extend subsidies provided to keep the plant in operation.	The decision of the Victoria government earlier this year to not extend subsidies provided to keep the plant in operation is followed by the move.	Dieser Schritt folgte der Entscheidung der Regierung in Victoria Anfang dieses Jahres, keine weiteren Subventionen zum Betrieb der Anlage zu vergeben.
In 2014, Alcoa closed the Point Henry smelter which led to the closure last year of the Anglesea power plant.	In 2014, the Point Henry smelter which led to the closure last year of the Anglesea power plant was closed by Alcoa.	2014 schloss Alcoa die Point Henry Schmelzerei, was letztes Jahr zu einer Schließung des Anglesea Kraftwerks führte.
She's selling you Estee Lauder foundation.	Estee Lauder foundation is being sold to you by her.	Sie macht Werbung für Ihre Grundierung von Estee Lauder.
Community legal centres turn away 160,000 people a year	160,000 people a year are turned away by community legal centres	Gemeinderechtszentren weisen jährlich 160.000 Leute ab
According to the poll, the SPD would only receive 23 percent in Berlin's elections to the House of Representatives (2011 elections: 28.3 percent).	According to the poll, 23 percent is only received by the SPD in Berlin's elections to the House of Representatives (2011 elections: 28.3 percent).	Bei der Berliner Abgeordnetenhauswahl käme die SPD der Umfrage zufolge nur noch auf 23 Prozent (Wahl 2011: 28,3 Prozent).
The in-built storage originally held eight megabytes - enough today for around two high-resolution selfies.	Eight megabytes were originally held by the in - built storage - enough today for around two high-resolution selfies.	Der eingebaute Speicher betrug anfangs acht Megabyte, das würde heute für ungefähr zwei Selfies mit hoher Auflösung reichen.
Now, an iPhone holds at least 16 gigabytes.	Now, at least 16 gigabytes are held by an iPhone.	Ein iPhone wird mittlerweile mit mindestens 16 Gigabyte ausgeliefert.
However, 20 years ago, the Communicator sparked a sensation.	However, 20 years ago, a sensation was sparked by the Communicator.	Vor 20 Jahren jedoch war der Communicator eine Sensation.
"A criminal investigation has been opened, a ""logical"" step in a situation like this, lawyer Gilles Hofstetter told Le Tribune de Geneve."	"A criminal investigation has been opened, a ""logical"" step in a situation like this, Le Tribune de Geneve was told by lawyer Gilles Hofstetter."	"Es wurde ein Ermittlungsverfahren eröffnet, was ein ""logischer"" Schritt in einer solchen Situation ist, teilte Gilles Hofstetter dem Le Tribune de Geneve mit."
The model produced a story of Venus similar to the evolution previously hypothesized by planetary scientists.	A story of Venus similar to the evolution previously hypothesized by planetary scientists was produced by the model.	Das Modell brachte eine Geschichte der Venus hervor, die der Evolution ähnelt, die zuvor von Planetenforschern vermutet wurde.
Researchers shared the results of their new Venus climate model in the journal Geophysical Research Letters.	The results of their new Venus climate model were shared by researchers in the journal Geophysical Research Letters.	Die Forscher teilten die Ergebnisse ihres neuen Venus Klimamodells im Geophysical Research Letters.
We will hold a number of full-day meetings over the next few weeks, starting early next week, to take a fresh look at the issues.	A number of full - day meetings will be held by us over the next few weeks, starting early next week, to take a fresh look at the issues.	Wir werden einige ganztägige Sitzungen in den nächsten Wochen abhalten, die Anfang nächsten Jahres anfangen werden, um die Probleme neu anzugehen.
The company's rate reduction follows a 10 percent decrease for onshore contractors in 2014.	A 10 percent decrease for onshore contractors is followed by the company 's rate reduction in 2014.	Die Ratenkürzung des Unternehmens folgt einem 10-prozentigem Rückgang für Onshore-Auftragnehmer im Jahr 2014.
Many of the stars in the cluster are just now reaching adulthood, having been born roughly 125 million years ago.	Adulthood is being just now reached by many of the stars in the cluster, having been born roughly 125 million years ago.	Viele Sterne in diesem Sternenhaufen, die vor rund 125 Millionen Jahren entstanden, erreichen jetzt das Erwachsenenalter.
At their peak spin rates, these maturing stars eject large amounts of stellar wind.	At their peak spin rates, large amounts of stellar wind are ejected by these maturing stars.	Zu Spitzenrotationsraten stoßen diese reifenden Sterne große Mengen an Sternwinden aus.
As these winds travel across the stars' magnetic fields, they enact a braking effect on the stars.	As these winds travel across the stars' magnetic fields, a braking effect on the stars is enacted by them.	Da diese Winde durch die Magnetfelder der Sterne reisen, haben sie einen bremsenden Effekt auf die Sterne.
After his emotional announcement of retirement, the 41-year-old pro will wear his New York Yankees jersey for the last time on 12 August, against the Tampa Bay Rays.	After his emotional announcement of retirement, his New York Yankees jersey will be worn by the 41-year - old pro for the last time on 12 August, against the Tampa Bay Rays.	Nach seiner emotionalen Rücktritts-Bekanntgabe wird der 41 Jahre alte Profi am 12. August gegen die Tampa Bay Rays ein letztes Mal das Trikot seiner New York Yankees tragen.
He signed a ten-year contract, which has brought him 27 million US dollars every year since 2007.	A ten - year contract , which has brought him 27 million US dollars every year since 2007 was signed by him.	Seine Unterschrift unter einem Zehnjahresvertrag bescherte ihm seit 2007 jährlich 27 Millionen US-Dollar.
Then perpetrators discovered extortion software.	Then extortion software was discovered by perpetrators.	Dann entdeckten die Täter Erpressungs-Software für sich.
Finally, the software presents the extortioner's demands.	Finally, the extortioner 's demands are presented by the software.	Anschließend präsentiert die Software die Forderungen der Erpresser.
The programmers then sell their malware to the actual extortioners in the form of a set of software building blocks.	Their malware is then sold by the programmers to the actual extortioners in the form of a set of software building blocks.	Die Programmierer verkaufen ihre Schadsoftware dann in Form eines Software-Baukastens an die eigentlichen Erpresser.
In the midst of winter, many victims would pay a ransom to have their blocked heating turned back on.	In the midst of winter, a ransom is paid by many victims to have their blocked heating turned back on.	Mitten im Winter könnte die Freischaltung einer derart blockierten Heizung so manchem Opfer durchaus ein Lösegeld wert sein.
However, it could certainly do its work a bit more quietly.	However, its work could be certainly done by it a bit more quietly.	Er dürfte seine Arbeit allerdings etwas leiser verrichten.
With the HR-V, Honda is offering a diverse car that is perfect for everyday driving.	With the HR-V, a diverse car that is perfect for everyday driving is being offered by Honda.	Mit dem HR-V bietet Honda ein vielseitiges und alltagstaugliches Auto.
The holidaymakers blamed a malfunctioning sewage treatment plant, which they believed to have polluted the seawater.	A malfunctioning sewage treatment plant , which they believed to have polluted the seawater was blamed by the holidaymakers.	Ihre Erkrankung führten die Urlauber auf eine defekte Kläranlage zurück, die angeblich das Meerwasser verschmutzt hatte.
The claimants had no luck in court.	No luck was had by the claimants in court.	Vor Gericht hatten die Kläger keinen Erfolg.
We will not give the terrorists this victory.	This victory will not be given to the terrorists by us.	Diesen Triumph werden wir den Terroristen nicht gönnen.
"The ""International Class"" at the Kinderhaus forest school saw a performance of the award-winning play ""The Invisible House"" at the Young Theatre in Münster."	"A performance of the award - winning play "" The Invisible House "" at the Young Theatre in Münster was seen by the "" International Class "" at the Kinderhaus forest school."	"Die ""Klasse International"" der Waldschule Kinderhaus hat eine Vorstellung des preisgekrönten Stücks ""Das unsichtbare Haus"" des Jungen Theaters Münster besucht."
Your doctor will examine you to see if the problems have a physical cause.	You will be examined by your doctor to see if the problems have a physical cause.	Der kann mit Untersuchungen abklären, ob die Probleme eine körperliche Ursache haben.
During this period, builders renovated the rooms on behalf of the unidentified owner of the house.	During this period, the rooms were renovated by builders on behalf of the unidentified owner of the house.	Währenddessen renovierten Bauarbeiter im Auftrag der unbekannten Hausbesitzer die Räume.
The social education worker will assist the management team run by Achim Grockenberger.	The management team run by Achim Grockenberger will be assisted by the social education worker.	Die Sozialpädagogin unterstützt das Team der Verwaltung um Achim Grockenberger.
Allotment holders cultivate the soil of former farmers.	The soil of former farmers is cultivated by allotment holders.	Kleingärtner bewirtschaften den einstigen Grund von Bauern.
On the other side of the Isar, the historical map gives an insight into the history of psychiatric medicine.	On the other side of the Isar, an insight is given by the historical map into the history of psychiatric medicine.	Auf der anderen Seite der Isar gibt die historische Karte einen Einblick in die Geschichte der psychiatrischen Medizin.
Yes, here on Auerfeldstraße, they once imprisoned people with delusions.	Yes, here on Auerfeldstraße, people were once imprisoned by them with delusions.	Ja, hier an der Auerfeldstraße sperrte man einst Menschen mit Wahnvorstellungen ein.
The Second World War also brought a decisive change to the heart of Munich.	A decisive change was also brought by the Second World War to the heart of Munich.	Eine entscheidende Veränderung brachte der Zweite Weltkrieg auch im Herzen Münchens.
The bombs of the Allies tore many holes in the city centre in December 1944.	Many holes were torn by the bombs of the Allies in the city centre in December 1944.	Die Bomben der Alliierten rissen im Dezember 1944 viele Löcher in die Innenstadt.
"Since he is also BLHV chairman for Fischerbach, he described the pasture fence project as ""fundamentally important""."	"Since he is also BLHV chairman for Fischerbach, the pasture fence project was described by him as ""fundamentally important""."	"Da er auch BLHV-Vorsitzender von Fischerbach ist, bezeichnete er das Weidezaunprojekt als ""elementar wichtig""."
I can't make a profit on that kind of steep-sloping ground.	A profit could not be made by me on that kind of steep-sloping ground.	Ich kann auf derart steilen Flächen nicht gewinnbringend wirtschaften.
The farmers need support to the tune of 3000 to 4000 euros per hectare.	Support is needed by the farmers to the tune of 3000 to 4000 euros per hectare.	Bei Kosten von 3000 bis 4000 Euro pro Hektar müssten die Landwirte unterstützt werden.
Now Trump's White House is targeting the Statue of Liberty	Now the Statue of Liberty is being targeted by Trump 's White House	Jetzt nimmt sich das Weiße Haus von Trump die Freiheitsstatue vor
In fairness, Miller did not attack the statue itself.	In fairness, the statue itself was not attacked by Miller.	Um fair zu bleiben, Miller griff nicht die Statue selbst an.
